date,startup,vertical,SubVertical,City  Location,investors,round,amount
2015-07-08,iOrderFresh,Grocery retail Mobile app,,New Delhi,Best Foodworks,Seed Funding,0.0
2015-10-08,Actionable Analytics,Machine Learning Platform,,New Delhi/ Houston,"B M Gupta, Vinod Singhal",Seed Funding,0.0
2015-08-13,Massblurb,Digital Marketing automation solution,,Mumbai,"LetsVenture, Mumbai Angels",Seed Funding,0.0
2015-08-14,VanityCube,On-Demand Beauty Services,,New Delhi,Group of angel investors,Seed Funding,0.0
2015-08-17,YourStory,Startup Focused Online Publisher,,Mumbai,"Ratan Tata, Vani Kola, T V Mohandas Pai, Karthee Madasamay",Seed Funding,0.0
2015-08-17,Orobind,App based Fitness coaching,,Bangalore,Existing & New Investors,Private Equity,0.0
2015-08-17,Fixy,On demand cleaning & fixing services,,Mumbai,VentureNursery,Seed Funding,0.0
2015-08-17,MSM Box,Beauty & Lifestyle platform,,New Delhi,Rohit Goel,Seed Funding,0.0
2015-08-17,Gadgets 360,Car & Bike ecommerce platform,,New Delhi,One97 Communications,Private Equity,0.0
2015-08-18,Twyst,Location based engagement & rewards platform,,Gurgaon,"Rohit Bhatia, Sunil Nikhar, Vaibhav Domkundwar, Siddharth Nautiyal",Seed Funding,0.0
2015-08-18,IDfy,Online Identity Verification Services platform,,Mumbai,"NEA, Blume Ventures & others",Private Equity,0.0
2015-08-19,Fashionove,Fashion Search & Review Platform,,Kolkata,Umesh Yadav,Seed Funding,0.0
2015-08-19,Envoged,pre-owned Luxury online apparel seller,,Mumbai,"Manish Dhingra, Ankush Nijhawa, Gaurav Bhatnagar",Seed Funding,0.0
2015-08-24,iZofy,Scientific Horoscope Online Assistance platform,,Kolkata,Prime Capital Markets Ltd,Seed Funding,0.0
2015-08-24,rBus,Tech enabled AC bus service,,Mumbai,"India Quotient, Anupam Mittal & others",Seed Funding,0.0
2015-08-26,EzySolare,solar products and services marketplace,,Ahmedabad,Infuse Ventures,Seed Funding,0.0
2015-08-27,InstaSafe,Private Cloud Networks SAAS platform,,Bangalore,Group of Investors,Seed Funding,0.0
2015-08-27,Eazy Coach,Education Marketplace,,Kolkata,Ravi Agarwal,Seed Funding,0.0
2015-08-27,Djubo.com,Cloud Based Hotel Sales Platform,,New Delhi,Ibibo Group,Private Equity,0.0
2015-08-28,BetterButter.in,online recipe sharing platform,,New Delhi,"Growx Ventures, Manish Singhal",Seed Funding,0.0
2015-08-29,iamwire,Digital Media publishing platform,,Gurgaon,"Li Tao, Li Jian, Draphant Consultants, Nitin Garg, Saurabh Jain, Mohit Agarwal",Seed Funding,0.0
2015-08-31,Infinite Analytics,Big Data & predictive Analysis Platform,,Mumbai,"Ratan Tata, Nikhil Vora & others",Private Equity,0.0
2015-01-07,Parcelled,Online Logistics Platform,,Bangalore,"Delhivery, Tracxn Labs",Seed Funding,0.0
2015-01-07,Retigence Technologies,Business IT Intelligence Services,,Mumbai,Omnivore Partners,Private Equity,0.0
2015-01-07,iDreamCareer,Ed-Tech Platform,,New Delhi,"ah! Ventures, Vivek Joshi, Mohit Satyanand & others",Seed Funding,0.0
2015-01-07,Ola Cabs,Cab rental Mobile app,,Bangalore,Ratan Tata,Private Equity,0.0
2015-03-07,Goqii,Mobile Fitness Marketplace,,Mumbai,Vijay Shekhar Sharma,Private Equity,0.0
2015-04-07,Elanic,P2P Pre-owned goods marketplace,,Bangalore,"Rebright Partners, Tracxn Labs, Aneesh Reddy",Seed Funding,0.0
2015-05-07,Urban Tailor,Online Tailoring Services,,Bangalore,Group of angel investors,Seed Funding,0.0
2015-06-07,ConfirmtTkt,Rail Ticket Confirmation predictor,,Bangalore,Pravin Agarwala & others,Seed Funding,0.0
2015-06-07,getNow,Hyperlocal Goods marketplace,,Nagpur,Atulya Mittal,Seed Funding,0.0
2015-07-07,Eatlo,Food Delivery platform,,Bangalore,"Powai Lake Ventures, Globeinvestor, Abhishekh Goyal",Seed Funding,0.0
2015-07-07,IndiaLends,Financial Tech,,New Delhi,"DSG Consumer Partners, Siddharth Parekh",Private Equity,0.0
2015-08-07,Quinto,Food Discovery App,,Pune,Jaydeep Barman,Seed Funding,0.0
2015-08-07,Ampere,Electric Scooter manufacturer,,Coimbatore,Ratan Tata,Seed Funding,0.0
2015-07-15,InstaLively.com,Live video streaming app,,New Delhi,"Anupam Mittal, Anand Chandrasekaran, Uday Shankar, Chetan Bhagat",Seed Funding,0.0
2015-07-21,ZenRadius,Online Hiring Platform,,Bangalore,"Tracxn Labs, Deepak Singh",Seed Funding,0.0
2015-07-23,iCrushiFlush,Casual Dating App,,Mumbai,IDG Ventures India,Seed Funding,0.0
2015-07-23,JetSetGo,Private Jet/ Helicopter Marketplace,,New Delhi,YourWeCan Ventures,Seed Funding,0.0
2015-07-25,Shopatplaces,Ethnic/ Traditional Fashion Store,,New Delhi,Indian Angel Network,Seed Funding,0.0
2015-07-27,Townrush,B2B logistics delivery platform,,Bangalore,Lightspeed Venture Partners,Seed Funding,0.0
2015-07-27,Locus,Logistics Automation Platform,,Bangalore,"growX ventures,\\xc2\\xa0 Manish Singhal",Seed Funding,0.0
2015-07-27,Bevy,Online Hiring Platform,,Bangalore,Varun Agarwal & Others,Seed Funding,0.0
2015-07-30,Wassup,On-Demand Laundry & Dry cleaning App,,Chennai,B S Nagesh,Private Equity,0.0
2015-07-30,Cartisan,On-Demand Car services App,,Bangalore,"YouWeCan Ventures,\\xc2\\xa0 Aprameya Radhakrishna",Seed Funding,0.0
2015-07-31,TripFactory,Online Curated Holiday package bookings,,Bangalore,"Aarin Capital Partners,",Private Equity,0.0
2015-01-06,Vyomo,Beauty and Wellness Platform,,New Delhi,Aprameya Radhakrishna,Seed Funding,0.0
2015-01-06,CredR,Used two-wheeler Marketplace,,Mumbai,GrowthStory,Seed Funding,0.0
2015-02-06,Karma Healthcare,Tech-enabled Rural Healthcare Services,,Udaipur,Ennovent Impact Investment Holding,Private Equity,0.0
2015-03-06,Entropy Innovations,Engineering Innovations,,Mumbai,Mark Mobius & 9 Other Angel investors,Seed Funding,0.0
2015-03-06,MyPoolin,P2P Payments platform,,New Delhi,"Sharad Sharma, Rajan Anandan, Sunil Kalra, Amit Ranjan, Rohan Malhotra,\\xc2\\xa0 Arjun Malhotra, Gautam Gandhi",Seed Funding,0.0
2015-03-06,KAARYAH,Women Lifestyle Marketplace,,Gurgaon,Ratan Tata,Seed Funding,0.0
2015-08-06,PosterGully,Artist / Designer Marketplace,,New Delhi,"Natarajan Iyer,Rajesh Sawhney,\\xc2\\xa0 & other Angel investors.",Seed Funding,0.0
2015-09-06,Printland,Online Printing Services,,New Delhi,SIDBI Venture Capital Ltd,Private Equity,0.0
2015-10-06,Guiddoo,Travel Guide Mobile App,,Mumbai,"Pawan Borle, SVP Fly Dubai & Others",Seed Funding,0.0
2015-06-15,iSTAR,Skill Training & Placement Platform,,Bangalore,Unitus Seed Fund,Private Equity,0.0
2015-06-16,FoodAbhi,online tiffin service aggregator,,Mumbai,Group of angel investors,Seed Funding,0.0
2015-06-16,Karma Recycling,Electronic Goods recycling service,,Delhi,"Infuse Ventures, Low Carbon Enterprise Fund",Private Equity,0.0
2015-06-17,Babychakra,Parents & Kids Online platform,,Mumbai,"Mumbai Angels, Patni Family Office, Singapore Angel Network, Karan Maheshwari, Jatin Aneja, Kishor Ganji, Roopa Nath",Seed Funding,0.0
2015-06-17,Jiffstore,Online Grocery platform,,Bangalore,"Unitus Seed Fund, Times Internet",Seed Funding,0.0
2015-06-18,Moovo,On-Demand Logistics Service,,New Delhi,YouWeCan Ventures,Seed Funding,0.0
2015-06-18,HealthifyMe,Health & Fitness App,,Bangalore,"Gopal Srinivasan, Sashi Reddy, Amit Gupta, Pallav Nadhani",Private Equity,0.0
2015-06-18,CAKART.in,Online Education Marketplace,,Bangalore,Sunil Maheshwari & group of investors,Seed Funding,0.0
2015-06-22,Ixigo,Travel Search Engine,,Gurgaon,Micromax Informatics,Private Equity,0.0
2015-06-22,SkillAngels,Brain Games Platform,,Chennai,Sprout Angels LLP,Seed Funding,0.0
2015-06-22,Banihal,Algorithmic Match Making Platform,,New Delhi / California,Dr David Cheriton,Seed Funding,0.0
2015-06-23,Healthians.com,Preventive healthcare services,,Hyderabad,YouWeCan Ventures,Seed Funding,0.0
2015-06-24,LabInApp,Science Learning App,,Bangalore,Unitus Seed Fund,Seed Funding,0.0
2015-06-24,Syona Cosmetics,Beauty and Wellness platform,,Chennai,Chennai Angels,Seed Funding,0.0
2015-06-24,Sigrid Education,Online Education Platform,,Noida,Oliphans Capital,Seed Funding,0.0
2015-06-29,StayGlad,Beauty services Mobile Marketplace,,Bangalore,"Tracxn Labs, Sahil Barua",Seed Funding,0.0
2015-06-30,Buttercups,Online Lingerie platform,,Bangalore,"Kanwaljit Singh, Angie Mahtaney, Manoj Varghese",Seed Funding,0.0
2015-06-30,RailYatri,Railways Information Mobile app,,Bangalore,"Helion Ventures, Omidiyar Network, Blume Ventures and Ujama",Private Equity,0.0
2015-06-30,aagaar.com,Hyperlocal grocery delivery,,Gurgaon,Group of Investors,Seed Funding,0.0
2015-05-05,Customer360,Customer Engagement Platform,,Mumbai,Vishwas Patel,Seed Funding,0.0
2015-07-05,Uniphore,Speech Recognition Solutions,,Chennai,"IDG Ventures, Kris Gopalakrishnan",Private Equity,0.0
2015-08-05,KleverKid,Online Education Platform,,New Delhi,Aarin Capital Partners,Seed Funding,0.0
2015-08-05,HealthifyMe,Health & Fitness App,,Bangalore,Micromax Informatics,Private Equity,0.0
2015-12-05,Mobiefit,Mobile Fitness App,,Goa,Prototyze,Seed Funding,0.0
2015-12-05,WorkHorse,Service-On-Demand Mobile App,,Mumbai,Undisclosed Investors,Seed Funding,0.0
2015-05-13,Innovaccer,Intelligent Data Analytics,,Noida,"Rajan Anandan, Teru Sato, Aneesh Reddy, Venkatesh Valluri",Seed Funding,0.0
2015-05-13,MyCuteOffice,Online Office Rental,,Mumbai,Lead Angels,Seed Funding,0.0
2015-05-18,TheBetterIndia.com,Online News Media,,Bangalore,Mohandas Pai,Seed Funding,0.0
2015-05-18,Awaaz De,Enterprise Communication Platform,,Ahmedabad,Samir Shah,Seed Funding,0.0
2015-05-19,Inspirock,Online Travel Planning,,,MakeMyTrip Innovation Fund,Private Equity,0.0
2015-05-21,SunTerrace,Rooftop Solar Plants,,New Delhi,Sunergy Investors,Private Equity,0.0
2015-05-22,CarDekho,Online Car Portal,,Jaipur,HDFC Bank,Private Equity,0.0
2015-05-25,Razorpay,Online Payment Gateway,,Bangalore,Punit Soni,Seed Funding,0.0
2015-05-25,Newgen Payments,Payments Solution Provider,,New Delhi,Jan Manten,Seed Funding,0.0
2015-05-28,Truweight,Weight Management Service,,Hyderabad,Kalaari Capital,Private Equity,0.0
2015-07-04,LogiNext,Logistics Tech,,Mumbai,"Ajit Surana, Sanjay Mehta",Seed Funding,0.0
2015-09-04,Purple Squirrel,Ed-Tech,,Mumbai,"Matrix Partners India, India Quotient",Private Equity,0.0
2015-10-04,iMMi Life,Mobile Health Tech,,Chennai,Unitus Seed Fund,Seed Funding,0.0
2015-04-18,Doormint,On-Demand Handyman Services,,Mumbai,Powai Lake Ventures,Seed Funding,0.0
2015-04-20,Vyomo,Beauty & Wellness Mobile App,,Gurgaon,YouWeCan Ventures,Seed Funding,0.0
2015-04-22,FindYahan,Hyperlocal services marketplace,,New Delhi,The Phoenix Fund,Private Equity,0.0
2015-04-23,EazyDiner,Restaurant reservation app,,New Delhi,"Deepak Shahdadpuri, Gulpreet Kohli",Seed Funding,0.0
2015-04-23,Phone Warrior,Spam Call block App,,New Delhi,Lightspeed Ventures,Seed Funding,0.0
2015-04-27,GIBBS,Clean Tech,,New Delhi,Infuse Ventures fund,Private Equity,0.0
2015-04-28,Urban Ladder,Online Furniture ecommerce,,Bangalore,"Anand Rajaraman, Venky Harinarayan",Private Equity,0.0
2015-04-29,Dazo,Mobile Food Ordering app,,Bangalore,"Sumit Jain, Aprameya Radhakrishna, Alok Goel, Rajan Anandan, Amit Agrawal, Vinay Goel, Gaurav Munjal, Ashish Dev Kapur",Seed Funding,0.0
2015-03-03,Intruo.com,,,,"Ashutosh Lawania, Alok Goel & others",Seed Funding,0.0
2015-10-03,Localbanya,,,,Shrem Strategies,Private Equity,0.0
2015-12-03,Process 9,,,,"IAN Ventures, Alok Sharma, Kris Gopalakrishnan, Saurabh Srivastava, Ajai Chowdhry",Seed Funding,0.0
2015-03-13,Paytm,,,,Ratan Tata,Private Equity,0.0
2015-03-13,Qyk,,,,"Powai Lake Ventures, Zishan Hayath, Abhishek Goyal, Sahil Barua",Seed Funding,0.0
2015-03-14,Routofy,,,,"Kunal Bahl, Rohit Bansal",Seed Funding,0.0
2015-03-17,GolfLAN,,,,YourNest Angel Fund,Seed Funding,0.0
2015-03-18,GoJavas,,,,Snapdeal,Private Equity,0.0
2015-03-20,Harness Handitouch,,,,Armat Group,Private Equity,0.0
2015-03-21,Round One,,,,"HT Media, Arun Duggal",Seed Funding,0.0
2015-03-23,Mosambee,,,,RVCF and SIDBI,Private Equity,0.0
2015-03-25,Rozgar Mela,,,,"Impact Investment Holding, Upaya Social Ventures",Seed Funding,0.0
2015-03-26,ePoise,,,,Undisclosed,Seed Funding,0.0
2015-02-02,NowFloats,,,,Omidyar Network,Private Equity,0.0
2015-05-02,Kobster.com,,,,Splice Advisors,Seed\\nFunding,0.0
2015-05-02,Paytm,,,,Ant Financial Services (Alipay),Private Equity,0.0
2015-09-02,CarDekho.com,,,,Ratan Tata,Private Equity,0.0
2015-10-02,CarTrade.com,,,,Chip Perry,Private Equity,0.0
2015-10-02,StoreKing,,,,Mangrove Capital Partners,Private Equity,0.0
2015-11-02,Townscript,,,,Group of Angel Investors,Seed\\nFunding,0.0
2015-11-02,FindYahan,,,,"Karan Bajwa, Parvesh Bareja , Sunjay Kapur, Amanpreet Bajaj",Seed\\nFunding,0.0
2015-02-13,CimplyFive,,,,"Suresh Senapaty, TV Mohandas Pai",Seed\\nFunding,0.0
2015-02-17,NextGen,,,,Mumbai Angels & Group of other investors,Seed\\nFunding,0.0
2015-02-25,SquadRun,,,,"Amit Ranjan, Deepinder Goyal, Zishaan Hayath, Powai Lake Ventures",Seed\\nFunding,0.0
2015-02-25,PepperTap,,,,Sequoia Capital,Seed\\nFunding,0.0
2015-02-26,FreshWorld,,,,"Kris Gopalakrishnan, Nagaraja Prakasam",Seed\\nFunding,0.0
2015-06-01,Purplle.com,,,,IvyCap Ventures,Private Equity,0.0
2015-07-01,Faircent,,,,"Devesh Sachdev, Ashish Tiwari",Seed Funding,0.0
2015-07-01,Bewakoof,,,,"Rohit Bansal, Kunal Bahl, Nikhil Vora",Seed Funding,0.0
2015-09-01,Sokrati,,,,"IvyCap Ventures, Inventus Capital",Private Equity,0.0
2015-09-01,TapCibo,,,,Alok Goel,Seed Funding,0.0
2015-12-01,Verayu,,,,"GWB Group, Blume Ventures",Private Equity,0.0
2015-01-13,AppVirality,,,,"Rajan Anandan, Mike Galgon, Ashim Mehra, Mohit Saxena, Ravi Gururaj, TNN Capital & IIG",Seed Funding,0.0
2015-01-19,Ping Digital,,,,Consortium of Angel Investors,Seed Funding,0.0
2015-01-20,Amagi Media Labs,,,,Premji Invest & Mayfield Fund,Private Equity,0.0
2015-05-21,Knit,,,,"Rohit Jain, Amit Rambhia & Others",Seed Funding,0.0
2015-01-22,Freshmonk,,,,"August Capital Partners, Michael Blakey",Seed Funding,0.0
2015-01-22,Englishleap.com,,,,ANALEC,Private Equity,0.0
2015-01-24,Impartus,,,,Kaizen Private Equity,Private Equity,0.0
2015-01-30,Simplotel,,,,MakeMyTrip,Private Equity,0.0
